flores_code,language_name,script,muri_codes,mapping_method,mapping_confidence,muri_n_examples,muri_n_train,muri_n_mri,muri_n_after_dedup,muri_n_empty,mean_instruction_len,mean_response_len,in_nllb,in_flores,in_belebele,joshi_level,joshi_match,joshi_match_method,in_pool,mri_clean_lo,mri_clean_hi,volume_for_threshold,passes_ge_500,passes_ge_1000,passes_ge_2000,passes_ge_5000,passes_volume_threshold
ayr_Latn,Central Aymara,Latn,aym,macro->member,inferred,1757,1581,1757,1757,0,69.7,636.2,True,True,False,1,aymara,muri-name,False,1757,1757,1757,False,False,False,False,False
tyv_Cyrl,Tuvinian,Cyrl,tyv,constructed,inferred,1589,1430,1589,1589,0,62.4,1948.1,False,False,False,,,none,False,1589,1589,1589,False,False,False,False,False
kbp_Latn,Kabiyè,Latn,kbp,direct,exact,1564,1408,1564,1564,0,89.0,1423.4,True,True,False,1,kabiye,name,False,1564,1564,1564,False,False,False,False,False
krc_Cyrl,Karachay-Balkar,Cyrl,krc,constructed,inferred,2089,1880,2089,1543,0,67.9,1283.8,False,False,False,1,karachay-balkar,name,False,1543,1543,1543,False,False,False,False,False
mai_Deva,Maithili,Deva,mai,direct,exact,1359,1223,1359,1284,0,42.5,569.2,True,True,False,1,maithili,name,False,1284,1284,1284,False,False,False,False,False
nia_Latn,Nias,Latn,nia,constructed,inferred,1253,1128,1253,1253,0,67.0,899.0,False,False,False,0,nias,name,False,1253,1253,1253,False,False,False,False,False
ton_Latn,Tonga (Tonga Islands),Latn,ton,constructed,inferred,1212,1091,1212,1212,0,74.6,485.5,False,False,False,0,tonga,name,False,1212,1212,1212,False,False,False,False,False
mdf_Cyrl,Moksha,Cyrl,mdf,constructed,inferred,1163,1047,1163,1163,0,52.4,473.9,False,False,False,1,moksha,name,False,1163,1163,1163,False,False,False,False,False
lah_Arab,Lahnda,Arab,lah,constructed,inferred,1158,1042,1158,1158,0,64.0,2710.3,False,False,False,,,none,False,1158,1158,1158,False,False,False,False,False
stq_Latn,Saterfriesisch,Latn,stq,constructed,inferred,1130,1017,1130,1130,0,88.1,1066.0,False,False,False,,,none,False,1130,1130,1130,False,False,False,False,False
fij_Latn,Fijian,Latn,fij,direct,exact,992,893,992,992,0,68.7,447.2,True,True,False,1,fijian,name,False,992,992,992,False,False,False,False,False
smo_Latn,Samoan,Latn,smo,direct,exact,960,864,960,960,0,59.6,721.8,True,True,False,1,samoan,name,False,960,960,960,False,False,False,False,False
pag_Latn,Pangasinan,Latn,pag,direct,exact,1686,1517,1686,951,0,101.7,442.2,True,True,False,1,pangasinan,name,False,951,951,951,False,False,False,False,False
ewe_Latn,Ewe,Latn,ewe,direct,exact,946,851,946,946,0,64.4,743.0,True,True,False,1,ewe,name,False,946,946,946,False,False,False,False,False
haw_Latn,Hawaiian,Latn,haw,constructed,inferred,809,728,809,799,0,77.1,894.8,False,False,False,1,hawaiian,name,False,799,799,799,False,False,False,False,False
bis_Latn,Bislama,Latn,bis,constructed,inferred,781,703,781,781,0,104.1,173.5,False,False,False,1,bislama,name,False,781,781,781,False,False,False,False,False
ven_Latn,Venda,Latn,ven,constructed,inferred,646,581,646,646,0,75.8,342.0,False,False,False,1,venda,name,False,646,646,646,False,False,False,False,False
alt_Cyrl,Southern Altai,Cyrl,alt,constructed,inferred,608,547,608,608,0,72.3,3936.3,False,False,False,0,altai,last-word,False,608,608,608,False,False,False,False,False
srn_Latn,Sranan Tongo,Latn,srn,constructed,inferred,603,543,603,603,0,76.5,468.6,False,False,False,,,none,False,603,603,603,False,False,False,False,False
xal_Cyrl,Kalmyk,Cyrl,xal,constructed,inferred,640,576,640,594,0,83.6,290.7,False,False,False,1,kalmyk,name,False,594,594,594,False,False,False,False,False
kbd_Cyrl,Kabardian,Cyrl,kbd,constructed,inferred,572,515,572,572,0,76.8,994.5,False,False,False,1,kabardian,name,False,572,572,572,False,False,False,False,False
dzo_Tibt,Dzongkha,Tibt,dzo,direct,exact,505,455,505,501,0,76.1,3949.0,True,True,False,1,dzongkha,name,False,501,501,501,False,False,False,False,False
awa_Deva,Awadhi,Deva,awa,direct,exact,466,419,466,466,0,69.1,355.8,True,True,False,0,awadhi,name,False,466,466,466,False,False,False,False,False
kon_Latn,Kongo,Latn,kon,direct,exact,377,339,377,373,0,101.9,138.8,True,True,False,1,kongo,name,False,373,373,373,False,False,False,False,False
chr_Cher,Cherokee,Cher,chr,constructed,inferred,368,331,368,368,0,57.0,283.3,False,False,False,1,cherokee,name,False,368,368,368,False,False,False,False,False
fon_Latn,Fon,Latn,fon,direct,exact,4329,3896,329,4329,0,169.4,167.1,True,True,False,,,none,False,329,329,329,False,False,False,False,False
iku_Cans,Inuktitut,Cans,iku,constructed,inferred,292,263,292,292,0,40.8,217.9,False,False,False,1,inuktitut,name,False,292,292,292,False,False,False,False,False
dik_Latn,Southwestern Dinka,Latn,din,macro->member,inferred,284,256,284,284,0,67.9,1303.4,True,True,False,1,dinka,muri-name,False,284,284,284,False,False,False,False,False
jam_Latn,Jamaican Creole English,Latn,jam,constructed,inferred,250,225,250,250,0,77.2,890.1,False,False,False,5,english,last-word,False,250,250,250,False,False,False,False,False
kal_Latn,Kalaallisut,Latn,kal,constructed,inferred,210,189,210,210,0,83.0,1106.5,False,False,False,,,none,False,210,210,210,False,False,False,False,False
guc_Latn,Wayuu,Latn,guc,constructed,inferred,168,151,168,168,0,85.7,1087.7,False,False,False,,,none,False,168,168,168,False,False,False,False,False
run_Latn,Rundi,Latn,run,direct,exact,4106,3695,106,4106,0,319.6,208.3,True,True,False,1,kirundi,alias,False,106,106,106,False,False,False,False,False
ady_Cyrl,Adyghe,Cyrl,ady,constructed,inferred,104,94,104,104,0,103.2,737.3,False,False,False,1,adyghe,name,False,104,104,104,False,False,False,False,False
sag_Latn,Sango,Latn,sag,direct,exact,104,94,104,104,0,94.0,113.7,True,True,False,1,sango,name,False,104,104,104,False,False,False,False,False
aka_Latn,Akan,Latn,aka,direct,exact,8000,7200,0,8000,0,178.6,127.1,True,True,False,1,akan,name,False,0,0,0,False,False,False,False,False
kik_Latn,Kikuyu,Latn,kik,direct,exact,4000,3600,0,4000,0,182.1,150.8,True,True,False,1,kikuyu,name,False,0,0,0,False,False,False,False,False
tum_Latn,Tumbuka,Latn,tum,direct,exact,4000,3600,0,4000,0,180.7,167.6,True,True,False,1,tumbuka,name,False,0,0,0,False,False,False,False,False
zha_Latn,Zhuang,Latn,zha,constructed,inferred,128,115,0,128,0,570.6,85.5,False,False,False,1,zhuang,name,False,0,0,0,False,False,False,False,False
